Date,EUR,GBP,CAD,AUD,JPY
9/2/1999,0.935541211,0.622006593,1.4958,1.550868486,109.13
9/3/1999,0.942240648,0.624063904,1.4906,1.546312046,110.04
9/6/1999,0.945626478,0.6222001,1.4898,1.548467018,109.69
9/7/1999,0.944554642,0.623402531,1.4892,1.539408867,110.77
9/8/1999,0.943574259,0.617550794,1.4875,1.542971764,111.18
9/9/1999,0.948946669,0.6114712,1.4777,1.531159087,108.06
9/10/1999,0.963948332,0.61785604,1.4745,1.534683855,108.72
9/13/1999,0.959232614,0.622006593,1.469,1.523229246,106.65
9/14/1999,0.965437343,0.621813207,1.4738,1.533272002,105.88
9/15/1999,0.96070708,0.619463545,1.4762,1.538935057,104.68
9/16/1999,0.963020031,0.61599113,1.4753,1.544878727,105.25
9/17/1999,0.959416675,0.61599113,1.4713,1.546072975,107.16
9/20/1999,0.965623793,0.616446801,1.4783,1.558603491,106.12
9/21/1999,0.953107129,0.612482391,1.4758,1.542257866,104.85
9/22/1999,0.957946163,0.613722843,1.4708,1.536334306,104.33
9/23/1999,0.952018279,0.607828835,1.4736,1.54059467,103.73
9/24/1999,0.957946163,0.608939228,1.4725,1.536570375,104.18
9/27/1999,0.955840184,0.607348922,1.4686,1.532097441,105.93
9/28/1999,0.950118765,0.606612072,1.4614,1.521838381,106.5
9/29/1999,0.939408173,0.608087565,1.4656,1.533742331,107.09
9/30/1999,0.935979034,0.607053967,1.4672,1.533742331,106.46
10/1/1999,0.932400932,0.604412209,1.4763,1.525553013,105.1
10/4/1999,0.931358853,0.6041931,1.4688,1.509889778,106.2
10/5/1999,0.931358853,0.60397415,1.472,1.509433962,106.41
10/6/1999,0.935716291,0.604120099,1.4687,1.51194436,107.5
10/7/1999,0.933096949,0.605363521,1.4708,1.517220452,107.17
10/8/1999,0.940468353,0.605546809,1.4711,1.527650474,107.6
10/11/1999,0.940026321,0.604960678,1.4728,1.525553013,106.89
10/12/1999,0.928332714,0.60331825,1.4756,1.523461304,106.12
10/13/1999,0.925411808,0.603864734,1.4821,1.542971764,106.59
10/14/1999,0.927902014,0.601467581,1.4806,1.5417823,107.37
10/15/1999,0.917936479,0.598909984,1.4881,1.544878727,105.5
10/18/1999,0.924812725,0.599376648,1.494,1.552553951,105.37
10/19/1999,0.923787529,0.597800096,1.4893,1.543686323,105.42
10/20/1999,0.930232558,0.601250601,1.4856,1.546551191,106.61
10/21/1999,0.92575449,0.59715753,1.4818,1.537279016,106.05
10/22/1999,0.935453695,0.605143722,1.4774,1.540832049,105.81
10/25/1999,0.93676815,0.601612321,1.4722,1.533036946,105.39
10/26/1999,0.944019636,0.605033882,1.474,1.536806516,104.85
10/27/1999,0.950751093,0.606685676,1.4725,1.55159038,104.34
10/28/1999,0.951384264,0.610202587,1.4726,1.54726907,105.04
10/29/1999,0.947957152,0.607976654,1.4707,1.564945227,104.1
11/1/1999,0.951203272,0.608753881,1.4661,1.56641604,104.06
11/2/1999,0.949938254,0.607459604,1.47,1.558360605,104.06
11/3/1999,0.953379731,0.608679774,1.4679,1.555935895,104.89
11/4/1999,0.958588957,0.616408802,1.4633,1.568873549,104.82
11/5/1999,0.959600806,0.617474529,1.4678,1.564455569,106.05
11/8/1999,0.963020031,0.617322057,1.4713,1.56838143,105.17
11/9/1999,0.961168781,0.616256856,1.4745,1.564455569,104.94
11/10/1999,0.957212597,0.613911228,1.4681,1.557147306,104.65
11/11/1999,0.960984048,0.616446801,1.4656,1.556904873,104.87
11/12/1999,0.969180074,0.619118375,1.4631,1.549666822,105.3
11/15/1999,0.967773154,0.616750956,1.4652,1.54726907,104.79
11/16/1999,0.97059109,0.618697024,1.4631,1.556420233,105.89
11/17/1999,0.960061444,0.61591525,1.4692,1.563966218,105.55
11/18/1999,0.971156648,0.619463545,1.465,1.563477173,105.94
11/19/1999,0.970873786,0.617322057,1.4623,1.564945227,106.39
11/22/1999,0.968898363,0.617131572,1.462,1.569612306,104.73
